uid,Дата,1. Мои ежедневные обязанности соответствуют моим ожиданиям,"2. Я горжусь тем, что работаю в своей компании",3.Существующие технологии помогают мне эффективно выполнять работу,4. Решения принимаются оперативно,5. Отделы сотрудничают друг с другом эффективно,6. Внутри подразделения сотрудники оказывают друг другу необходимую поддержку,7. Мне обеспечили безопасные условия труда (рабочее место и оборудование),8. В коллективе я чувствую себя комфортно и безопасно,9. Принятие рискованных решений поощряется,10. Творческая инициатива вознаграждается,11. Я получаю достаточно необходимой для работы информации,12. Я могу свободно высказывать свое мнение,13. Обязанности между сотрудниками компании и/или отдела распределены справедливо,14. Вознаграждение за труд соответствует обязанностям,15. Мои коллеги придерживаются этических норм поведения,16. Мой начальник является образцом профессиональной этики,17. Как долго Вы планируете продолжать свою карьеру в компании?,18. Порекомендовали бы Вы своим друзьям работать в компании?,"19. Оцените нашу компанию как работодателя (от «1» - минимальная оценка, «5» - максимальная оценка)"
u1407,29.02.2012 11:51,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Частично согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Затрудняюсь ответить,Частично согласен,Частично согласен,Согласен,более 5 лет,конечно да,4
u1417,24.02.2012 19:59,Согласен,Частично согласен,Не совсем согласен,Не совсем согласен,Не совсем согласен,Не совсем согласен,Не согласен,Согласен,Не совсем согласен,Частично согласен,Согласен,Согласен,Затрудняюсь ответить,Частично согласен,Согласен,Согласен,более 5 лет,возможно да,2
u142,16.02.2012 15:09,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Не согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u1420,18.02.2012 11:55,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Частично согласен,Затрудняюсь ответить,Затрудняюсь ответить,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,1-2 года,конечно да,5
u1425,16.02.2012 17:04,Частично согласен,Частично согласен,Частично согласен,Не совсем согласен,Частично согласен,Частично согласен,Не совсем согласен,Не согласен,Не совсем согласен,Не согласен,Затрудняюсь ответить,Затрудняюсь ответить,Частично согласен,Не совсем согласен,Не согласен,Не совсем согласен,2-3 года,не уверен,4
u1426,22.02.2012 14:36,Согласен,Согласен,Затрудняюсь ответить,Частично согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Не совсем согласен,Согласен,Частично согласен,Согласен,Согласен,Не совсем согласен,Согласен,1-2 года,конечно да,5
u1434,18.02.2012 11:05,Частично согласен,Затрудняюсь ответить,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Затрудняюсь ответить,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,3-5 лет,возможно да,4
u1436,17.02.2012 11:30,Согласен,Согласен,Частично согласен,Согласен,Частично согласен,Согласен,Частично согласен,Согласен,Затрудняюсь ответить,Не совсем согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,3-5 лет,конечно да,5
u1441,25.02.2012 17:13,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Не согласен,Частично согласен,Согласен,Согласен,Затрудняюсь ответить,Не совсем согласен,Согласен,Согласен,более 5 лет,конечно да,5
u1446,16.02.2012 15:23,Частично согласен,Частично согласен,Согласен,Частично согласен,Согласен,Частично согласен,Согласен,Частично согласен,Частично согласен,Согласен,Частично согласен,Затрудняюсь ответить,Затрудняюсь ответить,Частично согласен,Не совсем согласен,Частично согласен,1-2 года,возможно да,5
u1447,17.02.2012 23:18,Не совсем согласен,Частично согласен,Не согласен,Не согласен,Частично согласен,Частично согласен,Согласен,Согласен,Не согласен,Не согласен,Частично согласен,Согласен,Согласен,Не согласен,Согласен,Согласен,менее 1 года,возможно да,4
u145,01.02.2012 11:41,Согласен,Согласен,Частично согласен,Затрудняюсь ответить,Затрудняюсь ответить,Согласен,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,более 5 лет,конечно да,5
u1452,17.02.2012 11:21,Согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Не согласен,Не совсем согласен,Согласен,Согласен,Частично согласен,Затрудняюсь ответить,Согласен,Согласен,более 5 лет,конечно да,5
u1453,02.02.2012 16:25,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,более 5 лет,конечно да,5
u1454,21.02.2012 15:14,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,2-3 года,конечно да,5
u1459,21.02.2012 19:42,Согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Не согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u1461,01.02.2012 12:40,Согласен,Частично согласен,Согласен,Не согласен,Не согласен,Частично согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,1-2 года,конечно да,5
u1470,17.02.2012 9:13,Затрудняюсь ответить,Согласен,Согласен,Затрудняюсь ответить,Частично согласен,Частично согласен,Согласен,Частично согласен,Затрудняюсь ответить,Затрудняюсь ответить,Не совсем согласен,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Согласен,Затрудняюсь ответить,более 5 лет,возможно да,4
u1478,27.02.2012 17:02,Согласен,Согласен,Затрудняюсь ответить,Согласен,Частично согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Частично согласен,Согласен,Не совсем согласен,Не совсем согласен,Согласен,Согласен,более 5 лет,возможно да,4
u1479,25.02.2012 22:35,Частично согласен,Согласен,Частично согласен,Затрудняюсь ответить,Согласен,Согласен,Не согласен,Частично согласен,Не согласен,Не согласен,Затрудняюсь ответить,Затрудняюсь ответить,Не согласен,Не согласен,Затрудняюсь ответить,Частично согласен,1-2 года,конечно да,4
u148,22.02.2012 19:54,Согласен,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,2-3 года,конечно да,5
u1480,18.02.2012 10:51,Согласен,Частично согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Частично согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,менее 1 года,не уверен,4
u149,03.02.2012 17:32,Согласен,Согласен,Частично согласен,Согласен,Не совсем согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,4
u1491,28.02.2012 20:47,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,1-2 года,конечно да,5
u1492,20.02.2012 17:26,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u1493,01.02.2012 11:00,Не совсем согласен,Частично согласен,Не совсем согласен,Не согласен,Частично согласен,Не согласен,Согласен,Не согласен,Не согласен,Не согласен,Согласен,Не согласен,Не согласен,Не согласен,Частично согласен,Не согласен,менее 1 года,конечно нет,3
u1495,03.02.2012 9:19,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,более 5 лет,конечно да,5
u15,16.02.2012 14:15,Не совсем согласен,Затрудняюсь ответить,Частично согласен,Частично согласен,Не совсем согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Частично согласен,Частично согласен,Частично согласен,Не совсем согласен,Не согласен,Согласен,Согласен,1-2 года,возможно да,4
u1508,22.02.2012 19:21,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u1517,23.02.2012 22:00,Не совсем согласен,Частично согласен,Не согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Не совсем согласен,Согласен,Согласен,Согласен,Не согласен,Согласен,Согласен,1-2 года,возможно нет,4
u1518,29.02.2012 12:03,Согласен,Согласен,Частично согласен,Затрудняюсь ответить,Затрудняюсь ответить,Частично согласен,Согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,1-2 года,конечно да,5
u1526,20.02.2012 16:37,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Не совсем согласен,Согласен,Согласен,Согласен,Согласен,Согласен,1-2 года,конечно да,5
u1528,03.02.2012 16:34,Согласен,Согласен,Частично согласен,Не совсем согласен,Не совсем согласен,Не совсем согласен,Частично согласен,Частично согласен,Затрудняюсь ответить,Не совсем согласен,Не совсем согласен,Частично согласен,Затрудняюсь ответить,Не совсем согласен,Частично согласен,Согласен,3-5 лет,конечно да,4
u1530,20.02.2012 14:48,Согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Не согласен,Согласен,Частично согласен,Согласен,Частично согласен,Согласен,Частично согласен,Частично согласен,более 5 лет,конечно да,5
u1531,22.02.2012 14:43,Согласен,Согласен,Частично согласен,Согласен,Не согласен,Частично согласен,Согласен,Согласен,Не согласен,Не согласен,Частично согласен,Частично согласен,Частично согласен,Не согласен,Согласен,Согласен,более 5 лет,возможно да,4
u1532,25.02.2012 17:39,Не совсем согласен,Частично согласен,Не совсем согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Не совсем согласен,Не согласен,Согласен,Не согласен,Не совсем согласен,Не согласен,Согласен,Частично согласен,более 5 лет,возможно да,4
u1536,01.02.2012 11:07,Частично согласен,Частично согласен,Затрудняюсь ответить,Согласен,Не совсем согласен,Не совсем согласен,Согласен,Согласен,Затрудняюсь ответить,Не согласен,Частично согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,3-5 лет,конечно да,5
u1537,03.02.2012 17:06,Согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Согласен,Частично согласен,Частично согласен,Не совсем согласен,Согласен,Согласен,более 5 лет,конечно да,4
u1538,01.02.2012 18:39,Не совсем согласен,Частично согласен,Не совсем согласен,Не согласен,Не согласен,Согласен,Не согласен,Согласен,Не совсем согласен,Не согласен,Не совсем согласен,Не согласен,Согласен,Не согласен,Согласен,Согласен,1-2 года,не уверен,3
u1560,20.02.2012 16:48,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Не совсем согласен,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,3-5 лет,конечно да,4
u1561,20.02.2012 16:03,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Частично согласен,Согласен,Согласен,Не совсем согласен,Согласен,Согласен,более 5 лет,конечно да,4
u1563,01.02.2012 12:31,Согласен,Согласен,Частично согласен,Не согласен,Не согласен,Не совсем согласен,Согласен,Согласен,Не совсем согласен,Частично согласен,Не совсем согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u1571,20.02.2012 16:23,Частично согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,3-5 лет,конечно да,5
u1572,20.02.2012 15:20,Частично согласен,Согласен,Затрудняюсь ответить,Частично согласен,Не согласен,Согласен,Согласен,Согласен,Не совсем согласен,Частично согласен,Согласен,Согласен,Частично согласен,Не совсем согласен,Согласен,Частично согласен,менее 1 года,возможно да,5
u1578,02.02.2012 9:50,Частично согласен,Согласен,Частично согласен,Частично согласен,Не согласен,Согласен,Согласен,Согласен,Не совсем согласен,Не совсем согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,3-5 лет,конечно да,4
u1580,19.02.2012 17:44,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Частично согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,менее 1 года,возможно да,4
u1593,21.02.2012 7:46,Согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Не совсем согласен,Согласен,Не совсем согласен,Частично согласен,Не совсем согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,3-5 лет,возможно да,5
u1597,19.02.2012 12:45,Не совсем согласен,Не совсем согласен,Не согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Не согласен,Не согласен,Частично согласен,Согласен,Согласен,Не совсем согласен,Согласен,Согласен,более 5 лет,возможно да,3
u1599,18.02.2012 9:01,Согласен,Согласен,Согласен,Согласен,Не совсем согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,3-5 лет,конечно да,5
u16,01.02.2012 11:08,Согласен,Согласен,Частично согласен,Затрудняюсь ответить,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,более 5 лет,конечно да,4
u1600,17.02.2012 15:17,Частично согласен,Согласен,Частично согласен,Не совсем согласен,Не согласен,Согласен,Не согласен,Согласен,Не согласен,Не согласен,Согласен,Не согласен,Не совсем согласен,Частично согласен,Согласен,Согласен,более 5 лет,возможно да,4
u1602,16.02.2012 15:13,Согласен,Согласен,Согласен,Не совсем согласен,Согласен,Согласен,Согласен,Согласен,Не совсем согласен,Не совсем согласен,Не совсем согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,более 5 лет,конечно да,4
u1603,28.02.2012 12:24,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Не совсем согласен,Согласен,Не согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,более 5 лет,конечно да,4
u1611,24.02.2012 19:27,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Не совсем согласен,Согласен,Согласен,Согласен,Согласен,Согласен,2-3 года,не уверен,4
u1613,01.02.2012 11:00,Частично согласен,Частично согласен,Не совсем согласен,Не совсем согласен,Частично согласен,Частично согласен,Согласен,Согласен,Не совсем согласен,Не совсем согласен,Не совсем согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,1-2 года,возможно да,4
u1614,22.02.2012 10:43,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Затрудняюсь ответить,Частично согласен,Согласен,Затрудняюсь ответить,Согласен,Не совсем согласен,Согласен,Согласен,более 5 лет,возможно да,4
u1615,18.02.2012 18:19,Затрудняюсь ответить,Согласен,Не совсем согласен,Не совсем согласен,Не совсем согласен,Согласен,Не согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Согласен,Согласен,Затрудняюсь ответить,Не согласен,Согласен,Согласен,1-2 года,конечно да,4
u1619,21.02.2012 12:59,Не совсем согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Не согласен,Согласен,Согласен,Не совсем согласен,Не совсем согласен,Согласен,Согласен,2-3 года,возможно да,4
u1623,29.02.2012 11:37,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u1629,25.02.2012 19:49,Согласен,Согласен,Согласен,Не совсем согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,более 5 лет,возможно да,4
u165,01.02.2012 11:46,Не совсем согласен,Согласен,Не согласен,Затрудняюсь ответить,Согласен,Частично согласен,Согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Не согласен,Затрудняюсь ответить,Не совсем согласен,Не совсем согласен,Согласен,Согласен,более 5 лет,конечно да,4
u1668,18.02.2012 11:10,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Затрудняюсь ответить,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,более 5 лет,конечно да,5
u1669,20.02.2012 15:01,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Не совсем согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u167,01.02.2012 11:16,Частично согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Не совсем согласен,Не совсем согласен,Частично согласен,Частично согласен,Частично согласен,Не совсем согласен,Согласен,Согласен,более 5 лет,конечно да,4
u1677,16.02.2012 16:12,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,более 5 лет,конечно да,5
u168,28.02.2012 17:26,Согласен,Согласен,Частично согласен,Не совсем согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Не совсем согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,4
u1687,28.02.2012 19:27,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,3-5 лет,возможно да,4
u1688,27.02.2012 17:27,Согласен,Частично согласен,Не совсем согласен,Частично согласен,Согласен,Согласен,Частично согласен,Частично согласен,Затрудняюсь ответить,Согласен,Частично согласен,Частично согласен,Согласен,Не согласен,Согласен,Согласен,более 5 лет,возможно да,4
u1689,24.02.2012 20:57,Согласен,Согласен,Затрудняюсь ответить,Частично согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,Частично согласен,Согласен,1-2 года,конечно да,4
u1694,29.02.2012 17:05,Согласен,Согласен,Частично согласен,Затрудняюсь ответить,Частично согласен,Согласен,Не согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Согласен,Не совсем согласен,Согласен,Не совсем согласен,Согласен,Согласен,более 5 лет,возможно да,3
u1695,18.02.2012 18:04,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u1697,17.02.2012 19:09,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Не согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,4
u17,16.02.2012 16:41,Согласен,Согласен,Частично согласен,Не совсем согласен,Не согласен,Частично согласен,Не совсем согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Не совсем согласен,Не совсем согласен,Не совсем согласен,Не согласен,Согласен,Согласен,более 5 лет,конечно да,3
u1700,18.02.2012 18:14,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Не совсем согласен,Частично согласен,Согласен,Не совсем согласен,Затрудняюсь ответить,Согласен,Частично согласен,1-2 года,возможно да,4
u1702,28.02.2012 14:45,Согласен,Согласен,Не совсем согласен,Согласен,Не согласен,Частично согласен,Согласен,Частично согласен,Затрудняюсь ответить,Затрудняюсь ответить,Частично согласен,Не совсем согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,более 5 лет,возможно да,5
u1712,23.02.2012 21:50,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Согласен,Не согласен,Не согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,1-2 года,конечно да,5
u1713,01.02.2012 16:16,Согласен,Согласен,Не совсем согласен,Частично согласен,Частично согласен,Согласен,Частично согласен,Согласен,Затрудняюсь ответить,Частично согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,2-3 года,возможно да,4
u1714,01.02.2012 11:03,Согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Частично согласен,Согласен,Не совсем согласен,Частично согласен,Частично согласен,Согласен,Согласен,1-2 года,не уверен,3
u1715,21.02.2012 7:39,Согласен,Согласен,Согласен,Согласен,Согласен,Не совсем согласен,Согласен,Согласен,Не совсем согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u1719,01.02.2012 11:41,Не совсем согласен,Согласен,Частично согласен,Частично согласен,Не согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Не совсем согласен,Согласен,Согласен,Согласен,более 5 лет,возможно да,4
u1720,25.02.2012 17:12,Согласен,Согласен,Частично согласен,Частично согласен,Затрудняюсь ответить,Согласен,Не совсем согласен,Согласен,Затрудняюсь ответить,Не совсем согласен,Согласен,Частично согласен,Согласен,Не совсем согласен,Согласен,Согласен,более 5 лет,конечно да,4
u1721,10.02.2012 15:35,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Не совсем согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Согласен,Затрудняюсь ответить,Согласен,Затрудняюсь ответить,Согласен,Частично согласен,более 5 лет,конечно да,5
u1722,18.02.2012 10:01,Частично согласен,Частично согласен,Частично согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Частично согласен,Затрудняюсь ответить,Затрудняюсь ответить,Согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Согласен,более 5 лет,возможно да,4
u1736,01.02.2012 10:56,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Не совсем согласен,Частично согласен,Частично согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,более 5 лет,конечно да,5
u1737,01.02.2012 11:39,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,возможно да,4
u1739,29.02.2012 13:39,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Затрудняюсь ответить,Не согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,более 5 лет,возможно да,4
u1740,22.02.2012 13:07,Согласен,Согласен,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,более 5 лет,конечно да,5
u1741,18.02.2012 17:45,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Не совсем согласен,Частично согласен,Не совсем согласен,Не совсем согласен,Не согласен,Согласен,Не согласен,Не совсем согласен,Согласен,Частично согласен,2-3 года,не уверен,2
u1742,16.02.2012 18:26,Не совсем согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Не совсем согласен,Частично согласен,Согласен,Частично согласен,Не совсем согласен,Согласен,Согласен,более 5 лет,возможно да,4
u1748,02.02.2012 10:43,Частично согласен,Частично согласен,Частично согласен,Затрудняюсь ответить,Затрудняюсь ответить,Частично согласен,Затрудняюсь ответить,Частично согласен,Затрудняюсь ответить,Частично согласен,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Частично согласен,Частично согласен,Согласен,2-3 года,возможно да,4
u1753,01.02.2012 13:26,Согласен,Согласен,Частично согласен,Частично согласен,Не совсем согласен,Частично согласен,Частично согласен,Согласен,Частично согласен,Согласен,Не совсем согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,3-5 лет,возможно да,5
u1756,23.02.2012 16:25,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Согласен,Затрудняюсь ответить,Согласен,Частично согласен,Согласен,Согласен,более 5 лет,возможно да,5
u1759,21.02.2012 12:51,Согласен,Частично согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Не согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Не совсем согласен,Согласен,3-5 лет,возможно да,4
u176,03.02.2012 17:11,Не совсем согласен,Согласен,Частично согласен,Не совсем согласен,Не совсем согласен,Согласен,Согласен,Частично согласен,Частично согласен,Затрудняюсь ответить,Частично согласен,Не совсем согласен,Затрудняюсь ответить,Не совсем согласен,Согласен,Затрудняюсь ответить,более 5 лет,возможно да,4
u1765,17.02.2012 18:03,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,более 5 лет,возможно да,5
u177,27.02.2012 16:41,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Не совсем согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,более 5 лет,конечно да,4
u1775,01.02.2012 11:35,Частично согласен,Согласен,Затрудняюсь ответить,Не согласен,Не совсем согласен,Частично согласен,Не согласен,Согласен,Затрудняюсь ответить,Не согласен,Не согласен,Согласен,Затрудняюсь ответить,Не совсем согласен,Согласен,Частично согласен,2-3 года,возможно да,4
u1776,25.02.2012 20:20,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,менее 1 года,конечно да,4
u1777,02.02.2012 10:46,Согласен,Согласен,Частично согласен,Частично согласен,Не совсем согласен,Согласен,Согласен,Согласен,Частично согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,3-5 лет,конечно да,4
u1779,17.02.2012 16:41,Частично согласен,Частично согласен,Не совсем согласен,Не совсем согласен,Согласен,Согласен,Согласен,Согласен,Не совсем согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Не совсем согласен,Частично согласен,Согласен,3-5 лет,возможно да,4
