uid,План сотрудника,Факт сотрудника,% вып-я,Число_чеков,Ср.чек,месяц
u849,671 008,638 954,"95,22",72,8 874,июл.13
u136,671 008,792 530,"118,11",106,7 477,июл.13
u581,671 008,0,"0,00",0,/0,июл.13
u341,201 551,303 867,"150,76",31,9 802,июл.13
u1206,201 551,311 328,"154,47",22,14 151,июл.13
u1824,0,0,,0,/0,июл.13
u1774,988 369,1 204 012,"121,82",117,10 291,июл.13
u1470,988 369,0,"0,00",0,/0,июл.13
u114,988 369,503 593,"50,95",33,15 260,июл.13
u1118,988 369,1 053 884,"106,63",113,9 326,июл.13
u145,0,0,,0,/0,июл.13
u327,870 791,243 295,"27,94",45,5 407,июл.13
u1780,870 791,71 380,"8,20",4,17 845,июл.13
u1866,870 791,1 136 129,"130,47",66,17 214,июл.13
u1532,0,0,,0,/0,июл.13
u281,870 791,198 555,"22,80",47,4 225,июл.13
u1500,870 791,1 260 513,"144,75",70,18 007,июл.13
u1016,576 321,0,"0,00",0,/0,июл.13
u827,576 321,906 220,"157,24",87,10 416,июл.13
u527,576 321,877 030,"152,18",96,9 136,июл.13
u1950,576 321,270 359,"46,91",21,12 874,июл.13
u46,0,0,,0,/0,июл.13
u1821,1 374 820,0,"0,00",0,/0,июл.13
u1089,1 374 820,1 380 236,"100,39",120,11 502,июл.13
u497,1 374 820,1 500 784,"109,16",94,15 966,июл.13
u177,0,0,,0,/0,июл.13
u1517,1 374 820,0,"0,00",0,/0,июл.13
u1308,966 561,1 016 540,"105,17",82,12 397,июл.13
u348,966 561,1 962,"0,20",2,981,июл.13
u1026,966 561,500 856,"51,82",56,8 944,июл.13
u823,966 561,0,"0,00",0,/0,июл.13
u1033,966 561,0,"0,00",0,/0,июл.13
u596,966 561,992 481,"102,68",67,14 813,июл.13
u1124,966 561,801 815,"82,96",68,11 791,июл.13
u1215,966 561,521 192,"53,92",53,9 834,июл.13
u1530,0,0,,0,/0,июл.13
u1700,491 796,965 548,"196,33",65,14 855,июл.13
u355,491 796,327 245,"66,54",40,8 181,июл.13
u334,491 796,315 430,"64,14",49,6 437,июл.13
u357,491 796,258 829,"52,63",37,6 995,июл.13
u338,869 576,19 410,"2,23",1,19 410,июл.13
u1888,869 576,0,"0,00",0,/0,июл.13
u1298,869 576,529 713,"60,92",62,8 544,июл.13
u624,869 576,879 250,"101,11",109,8 067,июл.13
u502,860 381,869 766,"101,09",99,8 786,июл.13
u1892,860 381,1 001 277,"116,38",105,9 536,июл.13
u330,860 381,971 676,"112,94",91,10 678,июл.13
u1393,860 381,598 247,"69,53",65,9 204,июл.13
u1358,0,0,,0,/0,июл.13
u1825,981 659,1 103 341,"112,40",123,8 970,июл.13
u1811,981 659,54 582,"5,56",8,6 823,июл.13
u1038,0,0,,0,/0,июл.13
u133,981 659,1 023 312,"104,24",116,8 822,июл.13
u21,981 659,1 025 536,"104,47",95,10 795,июл.13
u1538,0,0,,0,/0,июл.13
u1028,0,0,,0,/0,июл.13
u75,0,0,,0,/0,июл.13
u1999,0,0,,0,/0,июл.13
u974,1 021 423,0,"0,00",0,/0,июл.13
u1478,1 021 423,1 617 459,"158,35",151,10 712,июл.13
u1826,0,0,,0,/0,июл.13
u1185,1 021 423,741 084,"72,55",57,13 001,июл.13
u1209,1 021 423,393 669,"38,54",32,12 302,июл.13
u976,1 040 410,1 178 594,"113,28",98,12 026,июл.13
u1006,1 040 410,1 083 233,"104,12",104,10 416,июл.13
u1012,1 040 410,0,"0,00",0,/0,июл.13
u1077,1 040 410,782 874,"75,25",82,9 547,июл.13
u983,753 517,876 397,"116,31",91,9 631,июл.13
u1066,753 517,755 824,"100,31",90,8 398,июл.13
u1845,0,0,,0,/0,июл.13
u1256,753 517,455 339,"60,43",51,8 928,июл.13
u1129,753 517,786 657,"104,40",80,9 833,июл.13
u1106,0,0,,0,/0,июл.13
u1047,321 954,520 723,"161,74",50,10 414,июл.13
u332,0,0,,0,/0,июл.13
u336,321 954,74 025,"22,99",23,3 218,июл.13
u1803,321 954,419 410,"130,27",31,13 529,июл.13
u439,0,0,,0,/0,июл.13
u356,1 014 762,227 058,"22,38",31,7 324,июл.13
u817,1 014 762,848 457,"83,61",61,13 909,июл.13
u1175,1 014 762,807 254,"79,55",80,10 091,июл.13
u2062,0,0,,0,/0,июл.13
u91,1 014 762,836 385,"82,42",71,11 780,июл.13
u654,911 576,1 137 695,"124,81",84,13 544,июл.13
u1779,0,0,,0,/0,июл.13
u297,911 576,303 245,"33,27",55,5 514,июл.13
u1056,718 271,433 936,"60,41",60,7 232,июл.13
u319,718 271,545 406,"75,93",67,8 140,июл.13
u968,1 178 985,922 415,"78,24",93,9 918,июл.13
u992,1 178 985,1 168 129,"99,08",124,9 420,июл.13
u2024,1 178 985,1 155 321,"97,99",143,8 079,июл.13
u196,1 178 985,600 858,"50,96",75,8 011,июл.13
u1434,1 178 985,0,"0,00",0,/0,июл.13
u25,0,0,,0,/0,июл.13
u2046,502 262,962 385,"191,61",59,16 312,июл.13
u559,502 262,515 760,"102,69",43,11 994,июл.13
u1064,0,0,,0,/0,июл.13
u1819,0,0,,0,/0,июл.13
u780,1 111 388,1 223 165,"110,06",111,11 020,июл.13
u1677,1 111 388,0,"0,00",0,/0,июл.13
u947,1 111 388,1 197 336,"107,73",112,10 690,июл.13
u369,0,0,,0,/0,июл.13
u1546,1 111 388,504,"0,05",2,252,июл.13
u115,826 085,0,"0,00",0,/0,июл.13
u1075,826 085,1 149 089,"139,10",133,8 640,июл.13
u1299,826 085,724 095,"87,65",87,8 323,июл.13
u1970,826 085,928 846,"112,44",92,10 096,июл.13
u1172,0,0,,0,/0,июл.13
u919,826 085,706 843,"85,57",68,10 395,июл.13
u989,700 333,186 800,"26,67",34,5 494,июл.13
u1446,0,0,,0,/0,июл.13
u804,700 333,865 068,"123,52",71,12 184,июл.13
u1258,700 333,807 407,"115,29",82,9 846,июл.13
u1937,1 236 642,1 078 691,"87,23",107,10 081,июл.13
u73,0,0,,0,/0,июл.13
u2053,1 236 642,695 865,"56,27",72,9 665,июл.13
u611,1 236 642,999 543,"80,83",92,10 865,июл.13
u1112,1 236 642,1 369 908,"110,78",115,11 912,июл.13
u1200,1 236 642,842 829,"68,15",80,10 535,июл.13
u1123,1 236 642,10 770,"0,87",2,5 385,июл.13
u1341,1 236 642,1 388 069,"112,24",115,12 070,июл.13
u1260,1 015 955,15 078,"1,48",7,2 154,июл.13
u1536,0,0,,0,/0,июл.13
u923,1 015 955,14 524,"1,43",1,14 524,июл.13
u709,1 015 955,740 644,"72,90",52,14 243,июл.13
u1878,1 015 955,1 426 357,"140,40",152,9 384,июл.13
u1992,873 056,600 330,"68,76",78,7 697,июл.13
u1563,873 056,0,"0,00",0,/0,июл.13
u211,0,0,,0,/0,июл.13
u925,1 126 465,0,"0,00",0,/0,июл.13
u1873,1 126 465,0,"0,00",0,/0,июл.13
u333,0,0,,0,/0,июл.13
u2011,1 126 465,1 240 784,"110,15",72,17 233,июл.13
u344,1 126 465,1 282 364,"113,84",79,16 232,июл.13
u1466,1 126 465,1 189 548,"105,60",84,14 161,июл.13
u282,1 126 465,1 179 959,"104,75",100,11 800,июл.13
u2059,1 126 465,1 470 648,"130,55",105,14 006,июл.13
u16,0,0,,0,/0,июл.13
u1621,588 250,681 924,"115,92",61,11 179,июл.13
u1996,588 250,680 613,"115,70",78,8 726,июл.13
u95,0,0,,0,/0,июл.13
u984,1 006 263,0,"0,00",0,/0,июл.13
u78,1 006 263,946 756,"94,09",106,8 932,июл.13
u623,1 006 263,1 069 376,"106,27",116,9 219,июл.13
u342,1 312 789,1 641 540,"125,04",118,13 911,июл.13
u578,1 312 789,1 319 566,"100,52",114,11 575,июл.13
u1107,1 312 789,1 663 235,"126,69",111,14 984,июл.13
u1193,1 312 789,1 307 979,"99,63",131,9 985,июл.13
u476,0,0,,0,/0,июл.13
u1180,1 312 789,1 457 715,"111,04",99,14 724,июл.13
u1003,1 090 909,988 281,"90,59",108,9 151,июл.13
u1005,1 090 909,998 092,"91,49",104,9 597,июл.13
u324,1 090 909,920 870,"84,41",81,11 369,июл.13
u335,0,0,,0,/0,июл.13
u1528,1 090 909,1 121 649,"102,82",119,9 426,июл.13
u617,1 144 689,1 387 149,"121,18",102,13 600,июл.13
u1015,0,0,,0,/0,июл.13
u1144,1 144 689,879 261,"76,81",70,12 561,июл.13
u1156,1 144 689,1 165 181,"101,79",91,12 804,июл.13
u1771,1 144 689,423 435,"36,99",48,8 822,июл.13
u2097,1 144 689,0,"0,00",0,/0,июл.13
u354,697 102,154 444,"22,16",38,4 064,июл.13
u1526,0,0,,0,/0,июл.13
u1128,697 102,937 468,"134,48",77,12 175,июл.13
u373,697 102,834 810,"119,75",75,11 131,июл.13
u1796,697 102,0,"0,00",0,/0,июл.13
u347,862 618,688 452,"79,81",65,10 592,июл.13
u57,862 618,915 577,"106,14",75,12 208,июл.13
u2066,862 618,897 613,"104,06",90,9 973,июл.13
u1340,862 618,0,"0,00",0,/0,июл.13
u1141,0,0,,0,/0,июл.13
u1158,862 618,0,"0,00",0,/0,июл.13
u116,0,0,,0,/0,июл.13
u160,862 618,237 958,"27,59",26,9 152,июл.13
u1597,0,0,,0,/0,июл.13
u975,734 311,832 284,"113,34",67,12 422,июл.13
u681,734 311,477 310,"65,00",42,11 365,июл.13
u1011,0,0,,0,/0,июл.13
u182,734 311,444 040,"60,47",37,12 001,июл.13
u749,734 311,713 292,"97,14",50,14 266,июл.13
u27,720 552,96 252,"13,36",16,6 016,июл.13
u1791,321 954,358 300,"111,29",31,11 558,июл.13
u967,695 860,432 700,"62,18",40,10 818,июл.13
u1639,695 860,1 016 103,"146,02",91,11 166,июл.13
u18,695 860,901 480,"129,55",68,13 257,июл.13
u1155,695 860,1 013 801,"145,69",90,11 264,июл.13
u1205,695 860,0,"0,00",0,/0,июл.13
u238,0,0,,0,/0,июл.13
u977,995 490,122 625,"12,32",11,11 148,июл.13
u509,995 490,0,"0,00",0,/0,июл.13
u1651,995 490,283 718,"28,50",60,4 729,июл.13
u1945,0,0,,0,/0,июл.13
u2007,995 490,0,"0,00",0,/0,июл.13
u935,995 490,793 099,"79,67",84,9 442,июл.13
u576,937 920,374 490,"39,93",44,8 511,июл.13
u1985,937 920,694 652,"74,06",66,10 525,июл.13
u645,0,0,,0,/0,июл.13
u352,937 920,822 974,"87,74",92,8 945,июл.13
u1452,937 920,978 729,"104,35",115,8 511,июл.13
u1062,0,0,,0,/0,июл.13
u1895,546 213,537 155,"98,34",43,12 492,июл.13
u1443,546 213,339 765,"62,20",16,21 235,июл.13
u1284,546 213,402 244,"73,64",44,9 142,июл.13
u1834,1 256 319,1 460 991,"116,29",149,9 805,июл.13
u1210,1 256 319,755 225,"60,11",70,10 789,июл.13
u1315,0,0,,0,/0,июл.13
u1254,1 256 319,1 396 533,"111,16",144,9 698,июл.13
u1311,1 256 319,1 633 092,"129,99",169,9 663,июл.13
u535,1 249 786,1 131 688,"90,55",90,12 574,июл.13
u372,1 249 786,429 191,"34,34",53,8 098,июл.13
u927,0,0,,0,/0,июл.13
u1764,1 249 786,1 303 828,"104,32",109,11 962,июл.13
u108,1 249 786,1 240 718,"99,27",112,11 078,июл.13
u508,1 249 786,1 230 724,"98,47",113,10 891,июл.13
u1795,1 249 786,0,"0,00",0,/0,июл.13
u1598,1 159 733,1 261 390,"108,77",116,10 874,июл.13
u103,1 159 733,377 451,"32,55",40,9 436,июл.13
u909,1 159 733,1 200 966,"103,56",111,10 820,июл.13
u1114,1 159 733,1 203 648,"103,79",121,9 948,июл.13
u811,0,0,,0,/0,июл.13
u1181,1 159 733,0,"0,00",0,/0,июл.13
u1641,165 764,339 996,"205,11",39,8 718,июл.13
u1541,165 764,146 955,"88,65",19,7 734,июл.13
u1993,0,0,,0,/0,июл.13
u1167,165 764,221 577,"133,67",29,7 641,июл.13
u668,2 612 750,3 243 835,"124,15",216,15 018,июл.13
u554,0,0,,0,/0,июл.13
u1593,2 612 750,2 895 534,"110,82",210,13 788,июл.13
u1049,2 612 750,3 017 303,"115,48",208,14 506,июл.13
u90,2 612 750,2 800 667,"107,19",220,12 730,июл.13
u671,2 612 750,1 490 906,"57,06",103,14 475,июл.13
u772,2 612 750,1 759 838,"67,36",129,13 642,июл.13
u331,0,0,,0,/0,июл.13
u1025,0,0,,0,/0,июл.13
u821,1 030 121,437 074,"42,43",56,7 805,июл.13
u1480,1 030 121,0,"0,00",0,/0,июл.13
u526,1 030 121,972 840,"94,44",104,9 354,июл.13
u511,1 030 121,458 093,"44,47",56,8 180,июл.13
u1468,1 030 121,434 169,"42,15",31,14 005,июл.13
u911,0,0,,0,/0,июл.13
u11,568 617,0,"0,00",0,/0,июл.13
u1102,568 617,545 767,"95,98",51,10 701,июл.13
u148,568 617,0,"0,00",0,/0,июл.13
u916,568 617,563 987,"99,19",56,10 071,июл.13
u475,1 338 785,1 474 646,"110,15",156,9 453,июл.13
u129,0,0,,0,/0,июл.13
u1145,0,0,,0,/0,июл.13
u169,730 461,254 432,"34,83",17,14 967,июл.13
u349,730 461,391 267,"53,56",39,10 032,июл.13
u1326,730 461,1 027 062,"140,60",62,16 566,июл.13
u1551,730 461,209 177,"28,64",56,3 735,июл.13
u1084,730 461,196 833,"26,95",20,9 842,июл.13
u1599,0,0,,0,/0,июл.13
u1330,1 291 566,1 210 821,"93,75",137,8 838,июл.13
u1153,1 291 566,0,"0,00",0,/0,июл.13
u2025,1 291 566,0,"0,00",0,/0,июл.13
u939,0,0,,0,/0,июл.13
u1278,1 291 566,0,"0,00",0,/0,июл.13
u1394,732 641,803 504,"109,67",56,14 348,июл.13
u1550,732 641,753 443,"102,84",90,8 372,июл.13
u1549,732 641,772 463,"105,44",87,8 879,июл.13
u512,960 784,1 004 736,"104,57",79,12 718,июл.13
u747,960 784,0,"0,00",0,/0,июл.13
u1427,960 784,994 280,"103,49",92,10 807,июл.13
u110,0,0,,0,/0,июл.13
u1082,960 784,0,"0,00",0,/0,июл.13
u1151,960 784,998 803,"103,96",76,13 142,июл.13
u2068,580 297,830 702,"143,15",58,14 322,июл.13
u1045,580 297,0,"0,00",0,/0,июл.13
u1756,580 297,0,"0,00",0,/0,июл.13
u1334,580 297,0,"0,00",0,/0,июл.13
u915,0,0,,0,/0,июл.13
u846,580 297,530 805,"91,47",133,3 991,июл.13
u826,580 297,0,"0,00",0,/0,июл.13
u556,0,0,,0,/0,июл.13
u1270,580 297,0,"0,00",0,/0,июл.13
u358,0,0,,0,/0,июл.13
u1087,0,0,,0,/0,июл.13
u473,564 392,870 124,"154,17",74,11 758,июл.13
u1081,564 392,0,"0,00",0,/0,июл.13
u1143,0,0,,0,/0,июл.13
u280,564 392,424 454,"75,21",66,6 431,июл.13
u2,564 392,807 052,"142,99",82,9 842,июл.13
u1902,564 392,0,"0,00",0,/0,июл.13
u1960,43 333,41 303,"95,32",8,5 163,июл.13
u1194,0,0,,0,/0,июл.13
u655,433 421,67 045,"15,47",4,16 761,июл.13
u656,433 421,0,"0,00",0,/0,июл.13
u657,433 421,0,"0,00",0,/0,июл.13
u658,433 421,0,"0,00",0,/0,июл.13
u1297,433 421,0,"0,00",0,/0,июл.13
u660,433 421,944 132,"217,83",165,5 722,июл.13
u1877,0,0,,0,/0,июл.13
u661,433 421,0,"0,00",0,/0,июл.13
u1365,621 303,651 767,"104,90",77,8 465,июл.13
u630,0,0,,0,/0,июл.13
u1459,621 303,0,"0,00",0,/0,июл.13
u1460,621 303,686 993,"110,57",77,8 922,июл.13
u1461,621 303,683 174,"109,96",75,9 109,июл.13
u1491,558 676,505 976,"90,57",44,11 499,июл.13
u288,558 676,0,"0,00",0,/0,июл.13
u1492,558 676,597 016,"106,86",52,11 481,июл.13
u700,558 676,63 738,"11,41",20,3 187,июл.13
u1495,558 676,400 137,"71,62",44,9 094,июл.13
u459,558 676,750 337,"134,31",75,10 004,июл.13
u1894,423 282,548 118,"129,49",73,7 508,июл.13
u960,423 282,606 200,"143,21",66,9 185,июл.13
u1676,423 282,516 976,"122,14",62,8 338,июл.13
u938,423 282,510 520,"120,61",60,8 509,июл.13
u718,423 282,45 559,"10,76",8,5 695,июл.13
u1680,0,0,,0,/0,июл.13
u829,574 830,593 937,"103,32",77,7 713,июл.13
u92,574 830,836 233,"145,47",100,8 362,июл.13
u1679,574 830,1 260 480,"219,28",118,10 682,июл.13
u840,0,0,,0,/0,июл.13
u950,574 830,565 471,"98,37",74,7 642,июл.13
u1918,554 203,506 067,"91,31",83,6 097,июл.13
u1816,554 203,611 017,"110,25",84,7 274,июл.13
u1487,0,0,,0,/0,июл.13
u834,554 203,511 659,"92,32",68,7 524,июл.13
u1437,554 203,684 170,"123,45",91,7 518,июл.13
u963,551 220,0,"0,00",0,/0,июл.13
u1685,551 220,48 629,"8,82",8,6 079,июл.13
u832,551 220,510 821,"92,67",75,6 811,июл.13
u1818,551 220,528 551,"95,89",62,8 525,июл.13
u1342,529 102,419 723,"79,33",61,6 881,июл.13
u836,529 102,423 413,"80,02",71,5 964,июл.13
u842,0,0,,0,/0,июл.13
u1865,393 857,475 927,"120,84",48,9 915,июл.13
u1683,393 857,470 894,"119,56",44,10 702,июл.13
u1702,662 657,718 693,"108,46",100,7 187,июл.13
u1712,662 657,0,"0,00",0,/0,июл.13
u1715,662 657,683 284,"103,11",75,9 110,июл.13
u1884,662 657,424 962,"64,13",61,6 967,июл.13
u1956,0,0,,0,/0,июл.13
u1721,662 657,707 351,"106,74",79,8 954,июл.13
u2076,662 657,907 228,"136,91",113,8 029,июл.13
u722,501 616,478 720,"95,44",59,8 114,июл.13
u1714,501 616,472 450,"94,19",46,10 271,июл.13
u1719,0,0,,0,/0,июл.13
u756,501 616,0,"0,00",0,/0,июл.13
u2008,501 616,378 024,"75,36",38,9 948,июл.13
u2055,0,0,,0,/0,июл.13
u1704,500 820,552 283,"110,28",56,9 862,июл.13
u1706,500 820,534 448,"106,71",56,9 544,июл.13
u1707,500 820,510 008,"101,83",61,8 361,июл.13
u1713,500 820,243 042,"48,53",25,9 722,июл.13
u1720,0,0,,0,/0,июл.13
u595,500 820,0,"0,00",0,/0,июл.13
u1722,500 820,559 773,"111,77",52,10 765,июл.13
u1963,521 895,744 925,"142,73",96,7 760,июл.13
u1964,521 895,0,"0,00",0,/0,июл.13
u126,521 895,1 998,"0,38",1,1 998,июл.13
u1967,521 895,0,"0,00",0,/0,июл.13
u1966,521 895,702 247,"134,56",74,9 490,июл.13
u926,436 652,464 339,"106,34",48,9 674,июл.13
u2071,436 652,443 198,"101,50",53,8 362,июл.13
u2073,436 652,398 161,"91,19",28,14 220,июл.13
u1718,0,0,,0,/0,июл.13
u176,576 833,0,"0,00",0,/0,июл.13
u824,576 833,0,"0,00",0,/0,июл.13
u266,576 833,956 432,"165,81",117,8 175,июл.13
u267,0,0,,0,/0,июл.13
u271,576 833,499 819,"86,65",54,9 256,июл.13
u587,491 971,0,"0,00",0,/0,июл.13
u1345,491 971,639 149,"129,92",60,10 652,июл.13
u1346,491 971,736 711,"149,75",57,12 925,июл.13
u1347,491 971,201 097,"40,88",78,2 578,июл.13
u158,491 971,16 924,"3,44",1,16 924,июл.13
u1348,491 971,633 832,"128,84",56,11 318,июл.13
u730,928 824,0,"0,00",0,/0,июл.13
u731,928 824,0,"0,00",0,/0,июл.13
u695,928 824,888 364,"95,64",102,8 709,июл.13
u1349,928 824,1 130 217,"121,68",125,9 042,июл.13
u936,0,0,,0,/0,июл.13
u732,928 824,479 354,"51,61",43,11 148,июл.13
u1292,884 439,8 252,"0,93",14,589,июл.13
u715,884 439,434 909,"49,17",31,14 029,июл.13
u1293,884 439,914 550,"103,40",77,11 877,июл.13
u951,0,0,,0,/0,июл.13
u1294,884 439,1 373 294,"155,27",131,10 483,июл.13
u1295,884 439,14 494,"1,64",1,14 494,июл.13
u1296,884 439,1 376 688,"155,66",117,11 767,июл.13
u1697,571 584,5 426,"0,95",20,271,июл.13
u1571,571 584,0,"0,00",0,/0,июл.13
u1572,571 584,0,"0,00",0,/0,июл.13
u1573,571 584,879 501,"153,87",81,10 858,июл.13
u771,571 584,950 679,"166,32",98,9 701,июл.13
u1510,427 638,875 765,"204,79",89,9 840,июл.13
u1520,427 638,546 274,"127,74",52,10 505,июл.13
u175,427 638,282 944,"66,16",36,7 860,июл.13
u1513,0,0,,0,/0,июл.13
u1343,427 638,547 506,"128,03",74,7 399,июл.13
u1515,427 638,558 771,"130,66",84,6 652,июл.13
u1514,294 424,451 338,"153,30",47,9 603,июл.13
u560,549 729,674 306,"122,66",76,8 872,июл.13
u864,549 729,756 371,"137,59",71,10 653,июл.13
u561,549 729,772 045,"140,44",80,9 651,июл.13
u562,549 729,15 949,"2,90",31,514,июл.13
u1313,532 333,852 487,"160,14",69,12 355,июл.13
u1565,532 333,709 493,"133,28",50,14 190,июл.13
u1317,532 333,0,"0,00",0,/0,июл.13
u236,651 872,842 490,"129,24",82,10 274,июл.13
u964,651 872,867 472,"133,07",75,11 566,июл.13
u1583,651 872,42 230,"6,48",20,2 112,июл.13
u1584,651 872,801 456,"122,95",66,12 143,июл.13
u1309,651 872,759 597,"116,53",86,8 833,июл.13
u1508,594 960,687 841,"115,61",68,10 115,июл.13
u2057,0,0,,0,/0,июл.13
u1812,594 960,794 474,"133,53",69,11 514,июл.13
u805,594 960,499 254,"83,91",58,8 608,июл.13
u966,594 960,888 021,"149,26",65,13 662,июл.13
u1763,527 859,958 329,"181,55",63,15 212,июл.13
u1841,527 859,550 520,"104,29",51,10 795,июл.13
u293,527 859,11 376,"2,16",4,2 844,июл.13
u901,527 859,693 821,"131,44",61,11 374,июл.13
u880,907 769,716 328,"78,91",80,8 954,июл.13
u1927,907 769,387 620,"42,70",41,9 454,июл.13
u1695,907 769,3 368,"0,37",25,135,июл.13
u1623,726 728,766 890,"105,53",57,13 454,июл.13
u1974,907 769,910 507,"100,30",87,10 466,июл.13
u1291,907 769,921 154,"101,47",101,9 120,июл.13
u1696,907 769,600 249,"66,12",72,8 337,июл.13
u1580,907 769,0,"0,00",0,/0,июл.13
u1952,543 005,69 995,"12,89",21,3 333,июл.13
u262,543 005,105 298,"19,39",7,15 043,июл.13
u268,0,0,,0,/0,июл.13
u1564,543 005,831 383,"153,11",87,9 556,июл.13
u1336,543 005,657 977,"121,17",72,9 139,июл.13
u1689,636 033,0,"0,00",0,/0,июл.13
u887,636 033,496 725,"78,10",57,8 714,июл.13
u890,0,0,,0,/0,июл.13
u892,636 033,450 563,"70,84",46,9 795,июл.13
u876,0,0,,0,/0,июл.13
u879,522 008,881 639,"168,89",80,11 020,июл.13
u261,726 728,0,"0,00",0,/0,июл.13
u1420,726 728,732 946,"100,86",71,10 323,июл.13
u1694,726 728,144 788,"19,92",13,11 138,июл.13
u895,726 728,772 290,"106,27",94,8 216,июл.13
u877,772 805,268 110,"34,69",34,7 886,июл.13
u631,772 805,886 471,"114,71",88,10 074,июл.13
u343,772 805,64 993,"8,41",17,3 823,июл.13
u1808,0,0,,0,/0,июл.13
u891,772 805,167 147,"21,63",20,8 357,июл.13
u882,344 117,0,"0,00",0,/0,июл.13
u2038,0,0,,0,/0,июл.13
u287,344 117,144 483,"41,99",31,4 661,июл.13
u1698,344 117,382 766,"111,23",30,12 759,июл.13
u47,224 862,544 539,"242,17",44,12 376,июл.13
u1958,224 862,408 989,"181,88",49,8 347,июл.13
u1957,224 862,368 400,"163,83",40,9 210,июл.13
u1535,224 862,574 342,"255,42",55,10 443,июл.13
u1981,0,0,,0,/0,июл.13
u124,0,0,,0,/0,июл.13
u149,544 013,0,"0,00",0,/0,июл.13
u637,544 013,220 164,"40,47",55,4 003,июл.13
u63,544 013,740 152,"136,05",138,5 363,июл.13
u639,544 013,629 411,"115,70",45,13 987,июл.13
u641,544 013,436 386,"80,22",34,12 835,июл.13
u632,839 406,583 323,"69,49",72,8 102,июл.13
u382,839 406,13 040,"1,55",5,2 608,июл.13
u142,0,0,,0,/0,июл.13
u638,839 406,373 752,"44,53",84,4 449,июл.13
u49,0,0,,0,/0,июл.13
u636,839 406,890 792,"106,12",95,9 377,июл.13
u1436,839 406,1 087 135,"129,51",104,10 453,июл.13
u52,0,0,,0,/0,июл.13
u1776,839 406,0,"0,00",0,/0,июл.13
u719,611 860,615 877,"100,66",51,12 076,июл.13
u716,611 860,587 838,"96,07",61,9 637,июл.13
u1408,611 860,206 042,"33,67",19,10 844,июл.13
u717,0,0,,0,/0,июл.13
u720,611 860,664 357,"108,58",73,9 101,июл.13
u1372,612 357,833 741,"136,15",84,9 925,июл.13
u1374,0,0,,0,/0,июл.13
u1759,612 357,424 293,"69,29",53,8 006,июл.13
u1385,612 357,823 444,"134,47",77,10 694,июл.13
u1390,612 357,456 388,"74,53",38,12 010,июл.13
u1375,394 155,130 648,"33,15",19,6 876,июл.13
u1376,394 155,442 390,"112,24",78,5 672,июл.13
u1379,0,0,,0,/0,июл.13
u1384,394 155,639 348,"162,21",90,7 104,июл.13
u1389,394 155,140 299,"35,59",9,15 589,июл.13
u1373,429 445,61 676,"14,36",4,15 419,июл.13
u1377,0,0,,0,/0,июл.13
u831,429 445,453 978,"105,71",42,10 809,июл.13
u1382,0,0,,0,/0,июл.13
u1388,429 445,496 596,"115,64",41,12 112,июл.13
u64,0,0,,0,/0,июл.13
u1729,455 809,461 603,"101,27",67,6 890,июл.13
u1534,0,0,,0,/0,июл.13
u1743,455 809,523 116,"114,77",66,7 926,июл.13
u851,650 673,0,"0,00",0,/0,июл.13
u543,0,0,,0,/0,июл.13
u1733,0,0,,0,/0,июл.13
u664,650 673,778 428,"119,63",81,9 610,июл.13
u689,436 037,249 476,"57,21",50,4 990,июл.13
u940,436 037,584 969,"134,16",71,8 239,июл.13
u2112,436 037,521 975,"119,71",40,13 049,июл.13
u1741,0,0,,0,/0,июл.13
u1742,436 037,349 314,"80,11",38,9 192,июл.13
u541,913 167,966 607,"105,85",85,11 372,июл.13
u544,0,0,,0,/0,июл.13
u17,913 167,0,"0,00",0,/0,июл.13
u127,913 167,1 016 472,"111,31",93,10 930,июл.13
u1736,913 167,689 450,"75,50",84,8 208,июл.13
u1739,913 167,1 006 067,"110,17",91,11 056,июл.13
u1333,427 522,561 676,"131,38",56,10 030,июл.13
u1744,427 522,0,"0,00",0,/0,июл.13
u1746,427 522,199 621,"46,69",27,7 393,июл.13
u1748,0,0,,0,/0,июл.13
u367,357 882,487 941,"136,34",70,6 971,июл.13
u1904,357 882,535 664,"149,68",64,8 370,июл.13
u704,539 505,943 081,"174,80",97,9 722,июл.13
u1728,539 505,580 635,"107,62",61,9 519,июл.13
u958,0,0,,0,/0,июл.13
u1668,539 505,515 524,"95,55",39,13 219,июл.13
u546,539 505,135 094,"25,04",9,15 010,июл.13
u1725,413 815,0,"0,00",0,/0,июл.13
u490,413 815,230 482,"55,70",29,7 948,июл.13
u1921,413 815,262 816,"63,51",33,7 964,июл.13
u167,0,0,,0,/0,июл.13
u1747,413 815,393 221,"95,02",55,7 149,июл.13
u1505,438 392,480 107,"109,52",49,9 798,июл.13
u1840,438 392,420 163,"95,84",66,6 366,июл.13
u1928,713 897,962 577,"134,83",106,9 081,июл.13
u1765,713 897,963 803,"135,01",104,9 267,июл.13
u872,713 897,879 290,"123,17",82,10 723,июл.13
u1930,0,0,,0,/0,июл.13
u1933,713 897,899 149,"125,95",86,10 455,июл.13
u60,0,0,,0,/0,июл.13
u2010,507 729,462 256,"91,04",46,10 049,июл.13
u2014,507 729,466 083,"91,80",59,7 900,июл.13
u2015,0,0,,0,/0,июл.13
u118,507 729,649 293,"127,88",58,11 195,июл.13
u2016,507 729,237 458,"46,77",26,9 133,июл.13
u2012,0,0,,0,/0,июл.13
