УИН подразделения,1. Устраивают ли Вас условия труда?,,"2. Если не устраивают условия, укажите какие:",,,,,,3. Устраивает ли Вас обеспечение рабочего места всем необходимым?,,"4. Удовлетворены ли Вы режимом работы (график работы, время перерыва, сверхурочные, командировки и т.д.)?",,5. Оплата труда соответствует Вашему трудовому вкладу?,,6. Понятны ли Вам общие критерии оценки Вашего труда?,,7. Понятна ли Вам Ваша система мотивации и система расчета премии?,,8. Считаете ли Вы Ваш заработок соответствующий среднему уровню по рынку труда?,,9. Устраивает ли Вас система поощрения лучших сотрудников?,,"10. Устраивает ли Вас система немонетарной мотивации (конкурсы, мероприятия, подарки)?",,11. Что бы Вы хотели добавить в социальный пакет или изменить в нем:,12. Вы информированы о возможностях Вашего карьерного роста?,,,13. За последний год работы с Вами кто-нибудь обсуждал возможность развития в Компании?,,,14. Можете ли Вы реализовать свои идеи в Компании?,,,,15. Ощущаете ли Вы полезность и важность Вашей работы?,,16. Есть ли у Вас потребность в повышении квалификации?,,"17. Если потребность есть, то какая:",18. Устраивают ли Вас взаимоотношения с руководством?,,"19. Знаете ли Вы к кому можно обратиться для решения проблем, кроме непосредственного руководителя?",,"20. По каким причинам, по Вашему мнению, возникают недоразумения и конфликты:",,,,,,,21. Устраивают ли Вас взаимоотношения со смежными подразделениями?,,,22. Можете ли Вы открыто высказывать непосредственному руководителю свои идеи и предложения?,,23. Признает ли руководство Ваши заслуги?,,"24. Какие, по Вашему мнению, бизнес-процессы в Компании требуют доработки:","25. Пожалуйста, назовите процессы, которые, по Вашему мнению, отлажены и не требуют доработки:",26. Что мешает повышению эффективности работы:,,,,,,,,"27. Что, по Вашему мнению, способствовало бы решению этих проблем:",,,,,28. Вы интересуетесь новостями Компании на портале?,,,29. Из каких источников Вы узнаете информацию об изменениях в компании (множественный выбор):,,,,,30. Чувствуете ли Вы себя информированным о планах и достижениях компании?,,31. Вы получаете достаточно необходимой для работы информации?,,32. Всегда ли Вы своевременно получаете информацию о качестве выполненной работы?,,"33. Понимаете ли Вы свои задачи и функции, которые от Вас ожидает руководство?",,34. Чувствуете ли Вы сопричастность к общему делу развития Компании?,,35. Удовлетворены ли Вы от процессов участия и причастности к проектам Компании?,,"36. Вы можете припомнить случай, когда при общении с партнером (клиентом) Вы проявили нестандартное решение вопроса? Пожалуйста, сообщите, в чем конкретно это заключалось:",37. Ощущаете ли Вы удовлетворенность работой в компании и уверенность в своем будущем в Компании?,,"38. Вы можете назвать свой коллектив сплоченным, объединенным общими целями, нормами поведения, ценностями?",,"39. Устраивают ли Вас взаимоотношения, сложившиеся в Вашем коллективе?",,40. Как Вы можете охарактеризовать атмосферу в коллективе:,,,,,"41. Хватает ли Вам неформального общения с коллегами, обмена мнениями, интересами?",,"42. Какие традиции и правила Компании для Вас ценны, приняты Вами:",43. Какие ценности Компани вами приняты:,,,,,"44. Пожалуйста, оцените в целом уровень корпоративной культуры в Компании по 5-тибальной шкале:",,,,,"45. Пожалуйста, оцените Компанию Чайникофф в качестве работодателя по 5-тибальной шкале:",,,,
e31bfcec-6a69-11e0-a872-001b789beaf2,1,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,-,1,,,1,,,1,,,,1,,,1,,1,,1,,,1,,,,,,,,1,1,,1,,-,-,,,,,1,,,,1,,,,,,1,,,1,1,1,1,1,,1,,1,,1,,1,,1,,-,,1,1,,1,,,,1,,,1,,-,1,1,1,1,1,,,1,,,,,1,,
6eb33b07-5ef8-11e2-8228-001b789beaf2,1,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,1,,,,1,,,,1,НЕТ,1,,1,,,1,,1,,,,,,,,1,1,,,1,,1,,ВСЕ,ВСЕ,,,1,,,,,,1,,,,,1,,,1,1,,,,1,,1,,1,,1,,1,,1,,НЕТ,1,,1,,1,,1,,,,НЕТ,1,,ВСЕ,1,,,,,,,,,1,,,,,1
18799af5-7286-11e0-a872-001b789beaf2,1,,,,1,,,"Температура в январе падала до 0 градусов, составлялся акт. Сейчас середина февраля - вопрос о закрытии потолка не решен. Данная проблема уже третий год. Летом очень жарко.",1,,1,,1,,1,,1,,,1,1,,,1,дмс - с учетом местонахождения магазинов.,1,,,,1,,1,,,"через ТМ, правда, не всегда идет дальше",1,,1,,"потребность в изучении иностранного - это доступно только в ЦО. был еще (не помню какой) курс, который привлек внимание, - запись на него была недоступна.",1,,1,,,1,,,,,,,,1,1,,1,,работа в программе 1с,затрудняюсь с ответом,,,,1,,1,,,,,,1,,1,,,1,1,,1,,1,,1,,,1,1,,1,,1,,*,1,,1,,1,,,,,1,"работа, нацеленная на результат",1,,Все,1,1,1,1,1,,,,,1,,,,1,
18799aec-7286-11e0-a872-001b789beaf2,1,,,,,,1,,1,,1,,1,,1,,1,,,1,1,,1,,бесплатный проезд,1,,,1,,,1,,,,1,,1,,,1,,1,,,,,,,,1,1,,,1,,1,,.,.,,1,,,,,,,,,,1,,1,,,1,1,,1,1,1,,1,,1,,1,,1,,1,,нет,1,,1,,1,,1,,,,,1,,День Чайникофф,1,1,,1,1,,,,1,,,,,,1
18799afb-7286-11e0-a872-001b789beaf2,1,,,,,1,,"Единственное не устраивает вопрос о конвертации. Ведь к нам часто заходят ка в справочное бюро, спросить: где банкомат, где туалет, а не займете ли денег и т. д. Путают с соседним продуктовым магазином. Прячутся от дождя и снега, когда ждут у вокзала электричку или с кем-то встречаются. И т.д.",1,,,1,,1,1,,1,,,1,,1,1,,ничего,1,,,1,,,,,1,"Каждый труд должен оплачиваться, даже если это интеллектуальный. На ассесменте мы подавали идеи, которые были реализованы, но мы за это ничего не получили.",1,,,1,"Потребность есть в увеличении заработной платы. Так как не справедливо, что в тех магазинах, в которых план в два, в три раза меньше, з/п такая же как и в интенсивных магазинах. Грани по существующей мотивации слишком не заметны. А это не правильно. Человек, работающий в более усиленном режиме и приносящий больший доход компании, должен и получать больше по сравнению с тихими магазинами.",1,,1,,,,,1,,,,1,,,1,,1,,"Обратная связь между магазином и офисом. Порой смски клиентам приходят раньше, чем приказ о новой акции!",,,,,,,,1,,,1,1,,,1,,,1,1,,1,1,1,,,1,,1,1,,1,,,1,,1,,1,,1,,,,,1,"В нашем коллективе все гармонично. У нас и деловые и дружеские отношения. Что делает работу более приятной. Самое главное, что нас можно назвать командой.",1,,"Раньше была ценность в кадрах. В последнее время она исчезла. Что прискорбно. Ведь знающий свое дело человек, сделает все быстрее и более логично, в принятых им указах.",1,1,,1,,,,,1,,,,1,,
3ef569f4-6e30-11e3-bfe0-ac162d794eee,1,,,,,,1,Все устраивает,1,,1,,,1,1,,1,,,1,,1,,1,Увеличить заработную плату.,,,1,,1,,,1,,Мне не интересно развития в компании,1,,,1,нет,1,,1,,,1,,,,,,1,,,1,,1,,Все устраивает,меня все устраивает,,1,,,,,,,,1,,1,,,,1,1,1,,,,1,,1,,1,,1,,1,,1,,Не было случая,1,,1,,1,,,,1,,Все норм,1,,Не какие,1,1,,,1,,,,,1,,,,,1
3fb5475a-c2a1-11e2-a9a2-ac162d794eee,1,,,,,,1,,1,,1,,,1,1,,1,,,1,,1,1,,,1,,,,1,,1,,,,1,,1,,нет предела совершенству,1,,1,,,1,,,,,,,,1,1,,,1,не помню,не помню,,,,,,,1,,,,,,1,1,,,1,,,1,,1,,1,,,1,1,,1,,1,,не помню,,1,1,,1,,1,,,,,1,,день рождения компвнии,1,,1,1,1,,,1,,,,,1,,
57cd36c7-3abe-11e2-b37d-001b789beaf2,1,,,,,,1,-,1,,1,,1,,1,,1,,1,,1,,1,,бесплатный проезд до работы,1,,,1,,,1,,,-,1,,1,,надо развиваться постоянно,1,,1,,,,,,,,1,1,,,1,,1,,большие расходы на печатную продукцию,Дисциплина,,,,,,1,,,,,,1,,1,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,-,1,,1,,1,,,1,,,,1,,все,1,1,1,1,1,,,,,1,,,,,1
f7bbec99-2a09-11e1-80c3-001b789beaf2,1,,,,,,1,,1,,1,,,1,1,,1,,,1,1,,,1,проезд транспорта,1,,,1,,,1,,,,1,,1,,,1,,1,,,,,,,,1,,,1,1,,1,,"курьерская доставка,",реклама,1,,,,,1,,,,1,1,1,,1,,,1,1,,,,1,,1,,1,,1,,1,,1,,нет,,1,1,,1,,1,,,,,1,,награждение за выслугу лет,,,1,1,,,,,,1,,,,1,
18799ae8-7286-11e0-a872-001b789beaf2,1,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,,1,ничего,1,,,1,,,,1,,,1,,,1,нет,1,,1,,,,,,,,1,1,,,1,,1,,излишняя печатная продукция,никакие,,1,,,,,,,,,1,,,1,,,1,1,,,,1,,1,,1,,1,,,1,,1,нет,1,,1,,1,,,,1,,,1,,никакие,,,,1,,,,,,1,,,,,1
2872f0bc-722e-11e0-a872-001b789beaf2,1,,,,1,,,В кабинете в летнее время очень душно.,1,,1,,1,,1,,1,,1,,1,,1,,-,1,,,1,,,1,,,,1,,1,,Как правильно предоставлять информацию покупателям с юридической стороны.,1,,1,,,,,,,,1,,,1,1,,1,,"Постоянно теряются кадровые документы, которые отправляются в офис (подписанные приказы, договора...), ни кто за это ответственности не несет, магазины вносят в ""черный"" список должников. Нужно назначит ответственного человека, который будет контролировать этот процесс, и уведомлять о получении ОК магазин (по почте).",,,,,,,1,1,,,,,,1,1,,,1,1,,1,1,1,,1,,1,,1,,1,,1,,,1,,1,,1,,,,1,,,1,,ДР компании,1,1,1,1,1,,,1,,,,,,1,
2872f0b9-722e-11e0-a872-001b789beaf2,1,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,все устраивает,1,,,1,,,1,,,возможность присутствует,1,,1,,тренинг управленческие навыки,1,,1,,,,,,,,1,1,,,1,,1,,,программа 1С,,,,1,1,,,,,,,1,1,1,,,1,1,,1,,1,,1,,1,,1,,1,,1,,стараюсь всегда при решении задач действовать не стандартно,1,,1,,1,,,,1,,в рабочее время уважительно деловые отношения.,1,,"стабильность, динамичное развитие",1,,1,1,1,,,,1,,,,,,1
5e63e5cb-a472-11e2-9998-001b789beaf2,1,,,,,,1,-,1,,1,,1,,1,,1,,,1,1,,1,,_,1,,,1,,,,1,,,1,,,1,_,1,,1,,,,,,,,1,1,,,1,,1,,_,_,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,1,1,,1,1,1,,1,,1,,1,,1,,1,,_,1,,1,,1,,,1,,,,1,,"День рождение компании!, Золотые стандарты.",1,1,1,1,1,,,,,1,,,,,1
18799af7-7286-11e0-a872-001b789beaf2,1,,,,,,1,,1,,,1,1,,1,,1,,1,,,1,,1,.,1,,,1,,,1,,,,1,,,1,.,1,,1,,,,,1,,,,1,,,1,,1,,1c,.,,,,,,1,,,,,,1,,1,,,1,1,1,,1,1,,1,,1,,1,,1,,,1,.,,1,1,,1,,1,,,,,,1,Золотые стандарты Чайникофф,1,,,,1,,,,,1,,,,,1
18799af9-7286-11e0-a872-001b789beaf2,,1,,,1,,,"Маленькое подсобное помещение. Неприятные запахи, приносящиеся с супермаркета ТЦ.",1,,1,,,1,1,,1,,1,,1,,1,,"Улучшить или изменить компанию ДМС. Мало входит услуг на бесплатной основе, чуть болезнь и приходиться платить за прием или анализы.",1,,,1,,,1,,,-,1,,,1,-,1,,1,,,,1,,,,,,,1,1,,1,,-,-,,,,,,1,1,,,,,1,,1,,,1,1,,1,,,1,1,,,1,1,,1,,,1,-,,1,1,,1,,,1,,,,1,,-,1,1,1,1,1,,,,1,,,,,1,
18799ae2-7286-11e0-a872-001b789beaf2,1,,,,,,1,,1,,,1,1,,1,,1,,1,,1,,1,,-,1,,,1,,,1,,,,1,,1,,-,1,,1,,,,,,,,1,1,,,1,,1,,-,-,,,,,,,1,,,1,1,,,1,,,1,1,,,,1,,1,,1,,1,,1,,1,,-,1,,1,,1,,,1,,,,1,,-,1,1,1,1,1,,,,,1,,,,,1
2872f0b3-722e-11e0-a872-001b789beaf2,1,,,,1,,,"требуется ремонт, зимой нет воды",1,,,1,,1,,1,,1,,1,,1,,1,оплата больничных не только из белой зар. платы,,1,,,1,,,1,,пр,1,,,1,никакая,,1,,1,1,,,,,,,1,,,1,,,1,"управленческие, мотивационные,",обучающие процессы,1,,,,,,1,,1,1,1,1,1,1,,,,,,1,,,1,,1,,1,,1,1,,,1,Тайные покупатели делают покупку,,1,,1,,1,,,,1,"Дружеская и деловая с коллегами, кроме управляющей",1,,"Помогать друг другу, быть сплоченным коллективом",,,,,1,1,,,,,,,1,,
2872f0b8-722e-11e0-a872-001b789beaf2,,1,1,,,,,Далеко от основных маршрутов общественного транспорта,1,,1,,1,,1,,1,,1,,1,,1,,Оплата проезда к месту отдыха и обратно один раз в два года.,1,,,1,,,,1,,нет возможности,1,,1,,Больше информации и возможность командировок.,1,,1,,,,,,,,1,1,,,1,,1,,Формирование товара в магазине. Обратна связь всех подразделений и ЦО. Поощрение сотрудников розницы на праздники,таких нет,,,1,,1,,1,,1,,1,1,1,1,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,их много,1,,1,,1,,,,1,,у нас дружный коллектив,1,,все,1,1,1,1,1,,,,1,,,,,1,
18799af4-7286-11e0-a872-001b789beaf2,1,,,,,,1,/,1,,1,,1,,1,,1,,1,,1,,1,,/,1,,,1,,,1,,,/,1,,1,,,1,,1,,,,,,,,1,1,,,1,,1,,/,/,,,1,,,,1,,,1,1,1,1,1,,,1,1,,,1,1,,1,,1,,1,,1,,1,,/,1,,1,,1,,1,,,,/,1,,/,1,1,1,1,1,,,,,1,,,,,1
2872f0ba-722e-11e0-a872-001b789beaf2,1,,,,,,1,,1,,1,,1,,1,,,1,1,,,1,1,,-,,1,,,1,,1,,,,1,,1,,-,1,,,1,,,,,,,1,1,,,1,,1,,-,-,,,,1,,,1,,,1,1,1,1,1,,,1,1,,1,1,,1,,1,,1,1,,,1,,1,-,1,,1,,1,,,1,,,,1,,уважение друг к другу,1,1,1,1,1,,,,1,,,,,,1
b6d7dd63-616b-11e3-a917-ac162d794eee,1,,,,,1,,отсутствие саунд сервиса,1,,1,,1,,1,,1,,1,,1,,1,,Пока ничего,1,,,1,,,1,,,Жду открытия магазина в Лондоне)))))),1,,1,,"Потребность есть всегда, но более хотелось бы повысить управленческие знания и умения.",1,,1,,,,,,,1,,1,,,1,,1,,"Мотивация: Наводит не дружелюбный настрой в коллективе (борьба за покупателей, обиды и т.д.) ","Поставки товара, рекламные материалы, логистика, и начисление заработной платы.",,,,,,1,,,,,1,1,,1,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,1,,1,,1,,,,,1,Все варианты подошли бы))),1,,Ценности компании.,1,1,1,1,1,,,,,1,,,,,1
2872f0a4-722e-11e0-a872-001b789beaf2,1,,,,,,1,,1,,1,,1,,1,,1,,,1,1,,1,,всё устраивает,1,,,1,,,,1,,,1,,1,,Постоянное развитие.,1,,,1,,,,,,,1,1,,,1,,1,,Думаю все процессы необходимо постоянно дорабатывать.,Думаю все процессы необходимо постоянно дорабатывать.,,,,,,1,,,,1,,,,1,,,1,1,,1,,1,,1,,,1,1,,1,,1,,не могу припомнить,1,,1,,1,,,1,,,,1,,1,1,1,1,1,1,,,,1,,,,,1,
54b0d183-16ca-11e3-babe-ac162d794eee,1,,,,,,1,,1,,1,,,1,1,,1,,,1,1,,1,,нет,1,,,1,,,,1,,,1,,1,,обновление памяти,1,,1,,,,,1,,,,1,,,1,,,1,нет,нет,,,,,,1,,,,,,1,,1,,,1,1,,,,1,,1,,1,,1,,1,,1,,нет,,1,1,,1,,,1,,,,1,,постоянное развитие,1,1,1,1,1,,,,1,,,,,1,
57cd36c8-3abe-11e2-b37d-001b789beaf2,1,,,,,,1,"Условия работы очень хорошие. Магазин находится в центре города, в золотом периметре.",1,,1,,1,,1,,1,,1,,1,,1,,В принципе ничего.,1,,,1,,,,,1,"Любая идея озвученная территориальному менеджеру, всегда рассматривается , обсуждается и приветствуется. Так же обращаемся за любой помощью и советом к территориальному менеджеру и она всегда откликается помогает.",1,,1,,"Хотелось бы больше владеть такой наукой как ""Аналитика""",1,,1,,,,,,,,1,1,,,1,,1,,,"Трейд-Ин, Скупка, Кредит.",,,1,,1,,,,,1,,1,,1,,,1,1,,,,1,,1,,1,,1,,1,,1,,"На момент покупки у клиента не было нужной суммы денег. И я договорилась, что недостающую суму я положу в кассу сейчас сама, а он вернет мне их с зарплаты. Таким образом я дотянула свой личный план и вызвала доверие клиента. Через два дня деньги мне были возвращены.В последующем он привел в наш магазин своих друзей и знакомых.",1,,1,,1,,1,,,,Конкурирующей. С частичной заменой коллектива более дружеской и со здоровым интересом лидерства.,,1,"Неотъемлемая сопричастность к развитию компании. Индивидуальный подход к каждому сотруднику. Не оставаться в стороне при любых трудностях, а наоборот сплачиваться и помогать друг другу.",,,,,,,,,,1,,,,,1
3249ca9d-fca4-11e1-be8a-001b789beaf2,1,,,,,,1,,1,,1,,1,,1,,1,,1,,,1,,1,"другую страховую компания, которая работала бы с большенством ЛПУ в Екб чтобы весь пакет и распространялся и на регионы",1,,,1,,,1,,,,1,,1,,пара тренингов в год (я называю это прививка Чайникофф),1,,1,,,1,,,,,,1,,,1,,1,,затрудняюсь ответить,затрудняюсь ответить,,,,,,1,,,,,,1,,1,,,1,1,,,,1,,1,,1,,1,,1,,1,,в нашей работе постоянно нестандартные отношения с клиентами,1,,1,,1,,,1,,,,1,,день рождения,,,,1,,,,,1,,,,,1,
315be8e8-4b83-11e3-a917-ac162d794eee,1,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,"Увеличить оплату больничных листов, выплата отпускных до ухода в отпуск более максимально",1,,,1,,,1,,,,1,,1,,развитие на высоком уровне профессионализма в ювелирной торговле,1,,1,,,,,,,,1,1,,,1,,1,,Индивидуальный заказ,Дисконтная программа,,,,,,1,,,,,,1,,1,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,нет,1,,1,,1,,,,1,,,1,,,1,1,1,1,1,,,,,1,,,,,1
7148875b-e429-11e0-9c6e-001b789beaf2,1,,,,,,1,,1,,1,,,1,1,,1,,,1,,1,1,,,1,,,1,,,1,,,"написать свои идеи на портале, озвучить руководству",1,,1,,различные управленческие тренинги,1,,1,,,,,,,,1,,,1,1,,1,,"Правильно продумывать рекламные акции прежде чем запустить в сеть,не внося ""сто"" изменений.","инд. заказы, трейд-ин, скупка, возвраты.",,,,,,,1,,,,1,1,,1,,,1,1,,1,1,1,,1,,1,,1,,1,,1,,*,,1,1,,1,,1,,,,,1,,день рождения Чайникофф,1,1,1,1,1,,,,1,,,,,1,
9cbea404-727a-11e0-a872-001b789beaf2,1,,,,,,1,,1,,1,,,1,,1,1,,,1,,1,,1,проезд,1,,,,1,,,1,,,1,,1,,курсы,1,,1,,,,,,1,,,1,,,1,,1,,никаких,их нет,,1,,,,,,,1,1,,,,1,,,1,1,,1,,,1,1,,1,,1,,1,,1,,такого не было,1,,1,,1,,,,1,,,1,,все,1,1,1,1,1,,,,,1,,,,1,
9cbea40d-727a-11e0-a872-001b789beaf2,1,,,,,,1,,1,,,1,1,,1,,1,,,1,,1,,1,Расширить спектр медицинских услуг.,1,,,,1,,,1,,,1,,1,,аналитическая,1,,1,,,,,,,,1,,1,,1,,1,,",",",",,,1,,,,,,,,,,1,1,,,1,1,,,,1,,1,,1,,1,,1,,1,,",,",,1,1,,1,,1,,,,,1,,",",1,1,1,1,1,,,,1,,,,,1,
9cbea406-727a-11e0-a872-001b789beaf2,1,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,-,1,,,1,,,1,,,Через корпоративный портал.,1,,1,,-,1,,1,,,,,,,,1,1,,,1,,1,,-,-,,1,1,,1,,,,,1,1,,,1,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,1,,1,,1,,,,,1,"Командная, дружеская. Доброжелательная обстановка.",1,,Все ниже перечисленное.,1,1,1,1,1,,,,,1,,,,,1
9cbea408-727a-11e0-a872-001b789beaf2,,1,,,1,,,зимой в торговом зале холодно.,1,,1,,1,,1,,1,,,1,1,,1,,,1,,,1,,,1,,,,1,,1,,-,1,,1,,,,,,,,1,1,,,1,,1,,-,-,,,,,,1,,,,,,1,,1,,,1,1,,1,,1,,1,,1,,1,,1,,1,,-,,1,1,,1,,,1,,,,,1,Корпоративный портал.,1,1,1,1,1,,,,,1,,,,,1
9cbea409-727a-11e0-a872-001b789beaf2,1,,,,1,,,Клиенты жалуются на плохое освещение. Нужен косметический ремонт.,1,,1,,1,,,1,,1,1,,,1,,1,Хотелось бы включить в мед. страхование стоматологические услуги.,1,,,1,,,,1,,,1,,,1,Новые знания нам не помеха.,1,,1,,,,,,,,1,,1,,1,,1,,Реклама. Акции.,Логистика. Своевременная выдача зарплаты. Поставка товара.,,,,,,1,,,1,1,1,1,1,1,,,1,1,,1,,1,,1,,1,,1,,1,,,1,нет,1,,1,,1,,1,,,,,1,,Стабильность.,1,1,1,1,1,,,1,,,,,,1,
9cbea40a-727a-11e0-a872-001b789beaf2,1,,,,,,1,,1,,1,,1,,1,,1,,,1,1,,1,,Увеличить размер официальной заработной платы,1,,,1,,,1,,,,1,,1,,Дополнительные курсы и семинары по повышению квалификации,1,,1,,,,,,,,1,,,1,1,,1,,Снабжение магазина необходимым количеством товара,Производство,,,,,,,1,,,,,1,1,1,,,1,,,,,,1,,1,,1,1,,1,,1,,Нет,,1,1,,1,,,,1,,,1,,Все ценности нашей компании,1,1,1,1,1,,,,1,,,,,1,
5a51116d-d4bf-11e2-8bd0-ac162d794eee,1,,,,,,1,,,1,1,,,1,1,,1,,,1,1,,1,,ничего,1,,,1,,,1,,,,1,,,1,нет,1,,1,,,,1,,,,,1,,,1,,1,,нет,"трейд ин, реклама,",,,,,1,,,,,1,,1,,1,,,1,1,,1,1,1,,1,,1,,1,,1,,1,,часто случаются ситуации когда приходится включать фантазию и смекалку,,1,1,,1,,,1,,,,1,,золотые стандарты,1,1,1,1,1,,,,1,,,,,1,
9cbea40c-727a-11e0-a872-001b789beaf2,1,,,,1,,,"широкий двери на первом этаже ,зимой холодно",1,,1,,1,,1,,1,,1,,1,,1,,хотелось бы иметь дмс более расширенного ассортимента<br/>,1,,,1,,,1,,,мерчендайзинг в выкладки товара.,1,,,1,,1,,1,,,,,,,,1,1,,,1,,1,,организованность,процесс обучения,,,,1,,,,,,,1,,,1,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,1,,1,,1,,,,1,,,1,,"выходной день Чайникоффа, <br/>быть всегда в тренде моды!",1,1,1,1,1,,,,,1,,,,,1
90093b53-616a-11e3-a917-ac162d794eee,1,,,,,,1,ВСЕ,1,,1,,1,,1,,1,,1,,1,,1,,НИЧЕГО,1,,,1,,,1,,,ВЕСЬ,1,,1,,любая возможная,1,,1,,,,,,,,1,1,,,1,,1,,Недоработанные,Доработанные,,,,,,1,,,,,,1,,1,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,НЕТ.НЕ помню,1,,1,,1,,1,,,,нет,1,,ВСЕ,1,1,1,1,1,,,,1,,,,,1,
e0cee813-5c8b-11e1-933a-001b789beaf2,,1,,,1,,,,1,,,1,,1,1,,1,,1,,1,,1,,ничего,1,,,1,,,,1,,,1,,,1,нет,1,,1,,,,,,,,1,1,,,1,,1,,ценообразование,затрудняюсь ответить,,,,,,1,,,,1,,1,,1,,,1,1,,1,,1,,1,,1,,1,,1,,,1,нет,,1,1,,1,,,1,,,,1,,"День рождения компании, поощрение лучших сотрудников",1,1,1,1,1,,,,1,,,,,1,
6623be4c-dc92-11e1-a52a-001b789beaf2,,1,,,1,,,"необходимо установить кондиционер в подсобное помещение, летом очень жарко, а фанкойл, расположенный в зале не дает охлаждения в подсобном помещении.",1,,1,,1,,1,,1,,1,,1,,1,,оплата или частичная оплата тренажерного зала для сотрудников,1,,,1,,,1,,,"корпоративный портал, ""есть идея""",1,,1,,периодические тренинги по управлению персоналом,1,,1,,,,,,,,1,1,,,1,,1,,"процесс обеспечения рекламными материалами (идея № 207), процесс ценообразования (слишком частые переоценки и виртуальные перемещения)",,,,,,,,1,,,,,1,1,1,,,1,1,,1,1,1,,1,,1,,1,,1,,1,,нет,1,,1,,1,,,,,1,демократично деловая,,1,,1,1,1,1,1,,,,1,,,,,,1
6623be4d-dc92-11e1-a52a-001b789beaf2,1,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,Все устраивает,1,,,1,,,1,,,"Через общение со своим территориальным менеджером, через портал (есть идея)",1,,1,,"Считаю, что управляющему надо всегда развиваться горизонтально, это касается и всевозможных отчетов по работе, и работа с клиентами, и персоналом.",1,,1,,,,,,,,1,1,,,1,,1,,,Услуга по приему трейд-ин,,,,,,1,,,,,,1,1,1,,,1,1,,1,1,1,,1,,1,,1,,1,,1,,"Да, работа управляющей предполагает нестандартное решение задач с партнерами, особенно, когда речь идет об оплате (реклама уже напечатана, а оплаты все нет), и спасибо партнерам - не один год работаем- зарекомендовали и мы и они себя, только с лучшей стороны",,1,1,,1,,,1,,,,1,,"День рождения компании,",1,1,1,1,1,,,,,1,,,,,1
9cbea441-727a-11e0-a872-001b789beaf2,1,,,1,,,,,1,,1,,,1,1,,1,,,1,1,,1,,1. 100% оплата больничного листа и отпуска по беременности и родам 2.Полная оплата декретного отпуска 3. Оплата питания 4. Оплата транспорта 5. Добровольное медицинское страхование для родственников и детей сотрудников,1,,,1,,,1,,,,1,,,1,нет,1,,1,,,,,,,,1,,,1,1,,1,,,Инд. заказы,,,,1,1,,1,,,1,1,,,1,,,1,1,,1,,1,,1,,1,,1,,1,,1,,не припомню,1,,1,,1,,,1,,,,1,,"Дни рождения сотрудников, дни рождения салонов",,,,,,,,,1,,,,,1,
9cbea43e-727a-11e0-a872-001b789beaf2,1,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,-,1,,,1,,,1,,,,1,,1,,Наставничество,1,,1,,,,,,,,1,1,,,1,,1,,,"Программа лояльности,Реклама",1,,1,1,1,,,,,,1,1,1,1,,,1,1,,,,1,,1,,1,,1,,1,,1,,"Ситуации разные,к каждому клиенту индивидуальный подход,стараюсь для каждого найти возможное решение.",1,,1,,1,,,1,,,,1,,"Взаимопощь в работе,договорённость.",1,1,1,1,1,,,,1,,,,,,1
9cbea43f-727a-11e0-a872-001b789beaf2,1,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,В данный момент устраивает полностью всё.,1,,,1,,,1,,,В нашем коллективе основные моменты решаются сообща.,1,,1,,"Основные моменты требуют обучения , связанные с нестабильными ценами на электронику. Как обосновать клиенту высокие цены на изделия, после переоценки.",1,,1,,,,1,,,,,1,,,1,,1,,"Обещанная скидка клиенту в размере 50 процентов , может сократиться до минимальной при нехватке бонусных рублей на карте ИДК данного клиента. Считаю это большим минусом.","Привлечение клиентов в наши магазины, при помощи смс рассылки по всем возможным видам связи.",,,,1,1,,,,,,,1,1,1,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,1,,1,,1,,,1,,,,1,,"День рождение компании, поощрение лучшего сотрудника, управляющего и магазина. Очень сильно поднимает рабочий дух, а также все сотрудники заинтересованы в выполнении плана.",1,1,1,1,1,,,,,1,,,,,1
9cbea440-727a-11e0-a872-001b789beaf2,1,,,,,1,,"На складе вспомогательных материалов (Серебрякова) частично не работает освещение, очень плохие полы , пыльно на складе.",1,,1,,1,,1,,1,,1,,1,,1,,,1,,,1,,,1,,,,1,,1,,повышение квалификации (раз в 5 лет) в МАДИ с последующей аттестацией,1,,1,,,,,,,,1,,,1,1,,1,,.,.,,,,,,,1,,,,,1,,1,,,1,1,,1,1,1,,1,,1,,1,,1,,1,,.,1,,1,,1,,,1,,,.,1,,.,1,1,1,1,,,,,1,,,,,,1
